Name,Path,Status,Cohort,Cohort_Copy,Year
Plant-Sitter,The KICKSTARTER,Denied,10th,10,2023
Amegegnehu,The KICKSTARTER,Opted Out,10th,10,2023
Jiv,The KICKSTARTER,Denied,10th,10,2023
safetour,The KICKSTARTER,Live Pitch Event,10th,10,2023
Park king,The KICKSTARTER,Denied,10th,10,2023
Roommate,The LAUNCHER,Denied,10th,10,2023
Merom,The LAUNCHER,Opted Out,10th,10,2023
CommonSense,The LAUNCHER,Denied,10th,10,2023
TripTip,The LAUNCHER,Live Pitch Event,10th,10,2023
Enty,The LAUNCHER,Invested,10th,10,2023
Athena,The LAUNCHER,Opted Out,10th,10,2023
Desite,The LAUNCHER,IC But Not Invested,10th,10,2023
real,The LAUNCHER,Denied,10th,10,2023
BSO,The LAUNCHER,Opted Out,10th,10,2023
Driftext,The LAUNCHER,Not 50% BGU,10th,10,2023
Liquid360,The LAUNCHER,Not 50% BGU,10th,10,2023
MapIt,The LAUNCHER,Not 50% BGU,10th,10,2023
Sobiter,The LAUNCHER,Denied,10th,10,2023
Mingle-pool,The LAUNCHER,Denied,10th,10,2023
sandra,The LAUNCHER,Not 50% BGU,10th,10,2023
ghostwrite ai,The LAUNCHER,Invested,10th,10,2023
Shifty,The LAUNCHER,Denied,10th,10,2023
פטריוֹת בריאוּת,The LAUNCHER,Denied,10th,10,2023
TalentFlow,The LAUNCHER,IC But Not Invested,10th,10,2023
Giraffe,The LAUNCHER,Denied,10th,10,2023
WOXYGEN,The LAUNCHER,Denied,10th,10,2023
Click,The LAUNCHER,Denied,10th,10,2023
Companionship Quest \ Friendship,The LAUNCHER,Opted Out,10th,10,2023
Groupi,The LAUNCHER,Denied,10th,10,2023
Cutt,The LAUNCHER,IC But Not Invested,10th,10,2023
תנועת ההתיישבות בנגב המערבי,The LAUNCHER,Denied,10th,10,2023
DeliGate,The LAUNCHER,IC But Not Invested,10th,10,2023
Sympato,The LAUNCHER,Denied,10th,10,2023
Whilx,The LAUNCHER,Denied,10th,10,2023
WiseWatch,The LAUNCHER,IC But Not Invested,10th,10,2023
Acneowledge,The KICKSTARTER,Opted Out,11th,11,2024
getlose,The KICKSTARTER,Opted Out,11th,11,2024
avocadobox,The KICKSTARTER,Invested,11th,11,2024
E.C.H.O,The KICKSTARTER,Live Pitch Event,11th,11,2024
StudentWear,The KICKSTARTER,Denied,11th,11,2024
מכונית מתנגשת כתחליף לרגילה למניעת תאונות,The KICKSTARTER,Opted Out,11th,11,2024
Fake News finder  app/web,The KICKSTARTER,Denied,11th,11,2024
PLAIBOOK,The KICKSTARTER,Live Pitch Event,11th,11,2024
workout form correction,The KICKSTARTER,Opted Out,11th,11,2024
Airtlas,The KICKSTARTER,Live Pitch Event,11th,11,2024
EduTAllor,The KICKSTARTER,Live Pitch Event,11th,11,2024
JobU,The KICKSTARTER,Opted Out,11th,11,2024
Face2Face,The KICKSTARTER,Denied,11th,11,2024
RightTrack,The KICKSTARTER,Opted Out,11th,11,2024
down2earth,The KICKSTARTER,Opted Out,11th,11,2024
AllerBite,The KICKSTARTER,Opted Out,11th,11,2024
A trip generator. That can offer you a full trip recommendations based on your preference and ai tools,The KICKSTARTER,Opted Out,11th,11,2024
Cleaner,The KICKSTARTER,Denied,11th,11,2024
Quick consume,The KICKSTARTER,Opted Out,11th,11,2024
ForestShield,The KICKSTARTER,Denied,11th,11,2024
Parking Finder App,The KICKSTARTER,Denied,11th,11,2024
Diabetes fragility Detector,The KICKSTARTER,Opted Out,11th,11,2024
ISRBILLS,The KICKSTARTER,Denied,11th,11,2024
HelmHat,The KICKSTARTER,Opted Out,11th,11,2024
עדיין אין שם,The KICKSTARTER,Opted Out,11th,11,2024
Orbital Pixies,The KICKSTARTER,Denied,11th,11,2024
Algo-Rhythm,The KICKSTARTER,Denied,11th,11,2024
Eroom,The KICKSTARTER,Denied,11th,11,2024
suppliers,The KICKSTARTER,Denied,11th,11,2024
Apartments App,The KICKSTARTER,Opted Out,11th,11,2024
ספרותא,The KICKSTARTER,Denied,11th,11,2024
REUS,The KICKSTARTER,Live Pitch Event,11th,11,2024
THERAPEUTICAI,The LAUNCHER,IC But Not Invested,11th,11,2024
Tipsy King,The LAUNCHER,Denied,11th,11,2024
TicketMarket,The LAUNCHER,Denied,11th,11,2024
Shalev,The LAUNCHER,Denied,11th,11,2024
PAOZA,The LAUNCHER,Denied,11th,11,2024
BizBloom,The LAUNCHER,Denied,11th,11,2024
MaWay,The LAUNCHER,IC But Not Invested,11th,11,2024
A SLEEP-AID FORMULATION COMPRISING IMMEDIATE RELEASE AND DELAYED- RELEASE COMPOSITIONS;,The LAUNCHER,Denied,11th,11,2024
Friendly - AI-powered matching system that connects nearby city moms based on needs and proximity,The LAUNCHER,IC But Not Invested,11th,11,2024
Social Order,The LAUNCHER,Denied,11th,11,2024
Scoot-Walker,The LAUNCHER,Denied,11th,11,2024
Simplan,The LAUNCHER,Denied,11th,11,2024
Green Home Fresher,The LAUNCHER,Denied,11th,11,2024
ThetaFlow,The LAUNCHER,Denied,11th,11,2024
Cytox,The LAUNCHER,Relocated to oasis,11th,11,2024
StepAhead,The LAUNCHER,Opted Out,11th,11,2024
EIO,The LAUNCHER,Denied,11th,11,2024
Cyclelytics,The LAUNCHER,Denied,11th,11,2024
Blabber,The LAUNCHER,IC But Not Invested,11th,11,2024
"""Automato system , startup : AgriTech Innovations""",The LAUNCHER,Denied,11th,11,2024
Eroom,The LAUNCHER,Denied,11th,11,2024
IDMA Commerce,The LAUNCHER,Denied,11th,11,2024
cepo,The LAUNCHER,Denied,11th,11,2024
STEP Bypass Prosthesis,The LAUNCHER,Denied,11th,11,2024
